dataset,method,seed,best_quality,best_config_id,n_unique,n_duplicates,spent_cpu_seconds,checkpoint_0.25,checkpoint_0.5,checkpoint_1.0
ml100k,sm2,13,0.07889310261079,als|factors=32;epochs=30;regularisation=0.01;alpha=1.0|frac=1.0,34,0,148.58203125,0.07889310261079,0.07889310261079,0.07889310261079
ml100k,bocs,13,0.074800464349429,als|factors=128;epochs=15;regularisation=0.001;alpha=1.0|frac=1.0,42,0,154.6486293354819,0.063091267204888,0.069293156077438,0.074800464349429
ml100k,fmqa,13,0.079068094664324,als|factors=32;epochs=15;regularisation=0.01;alpha=1.0|frac=1.0,62,0,145.10000374907716,0.071838450263929,0.071838450263929,0.079068094664324
ml100k,grid,14,0.073827224517497,itemknn|topk=10;shrink=0.0|frac=1.0,99,0,146.94836418167347,0.073827224517497,0.073827224517497,0.073827224517497
ml100k,random,14,0.077170461291231,als|factors=32;epochs=5;regularisation=0.01;alpha=1.0|frac=1.0,44,2,144.7983689188152,0.071405635939778,0.077170461291231,0.077170461291231
ml100k,tpe,14,0.07889310261079,als|factors=32;epochs=30;regularisation=0.01;alpha=1.0|frac=1.0,78,280,145.35710299212013,0.073827224517497,0.07889310261079,0.07889310261079
ml100k,successive_halving,14,0.076921290090755,als|factors=32;epochs=5;regularisation=0.1;alpha=1.0|frac=1.0,45,0,146.5014939188152,0.076921290090755,0.076921290090755,0.076921290090755
ml100k,hyperband,14,0.076769272305744,als|factors=32;epochs=5;regularisation=0.001;alpha=1.0|frac=1.0,41,0,145.3221153846154,0.076769272305744,0.076769272305744,0.076769272305744
ml100k,sm2,14,0.077551795194721,als|factors=64;epochs=5;regularisation=0.01;alpha=1.0|frac=1.0,38,0,147.96614583333334,0.074809747535055,0.074809747535055,0.077551795194721
ml100k,bocs,14,0.079031009902108,als|factors=64;epochs=5;regularisation=0.1;alpha=1.0|frac=1.0,44,0,148.51041666666666,0.079031009902108,0.079031009902108,0.079031009902108
ml100k,fmqa,14,0.076887166977308,markov|order=1;smoothing=0.1;decay=false|frac=1.0,71,1,146.68373407330486,0.074281958945344,0.074281958945344,0.076887166977308
ml100k,grid,15,0.073827224517497,itemknn|topk=10;shrink=0.0|frac=1.0,99,0,146.94836418167347,0.073827224517497,0.073827224517497,0.073827224517497
ml100k,random,15,0.077170461291231,als|factors=32;epochs=5;regularisation=0.01;alpha=1.0|frac=1.0,59,2,151.31560496794873,0.07095395181419,0.070965660795139,0.077170461291231
ml100k,tpe,15,0.079475733232263,als|factors=32;epochs=30;regularisation=0.1;alpha=1.0|frac=1.0,57,94,152.32466626500678,0.072202953637077,0.079475733232263,0.079475733232263
ml100k,successive_halving,15,0.078775994455641,als|factors=32;epochs=30;regularisation=0.001;alpha=1.0|frac=1.0,52,0,163.04446266881524,0.078775994455641,0.078775994455641,0.078775994455641
ml100k,hyperband,15,0.076822288397693,als|factors=64;epochs=5;regularisation=0.001;alpha=1.0|frac=1.0,63,0,144.54961948997155,0.069293156077438,0.071838450263929,0.076822288397693
ml100k,sm2,15,0.076921290090755,als|factors=32;epochs=5;regularisation=0.1;alpha=1.0|frac=1.0,60,0,146.10821323997158,0.076921290090755,0.076921290090755,0.076921290090755
ml100k,bocs,15,0.073312016856717,als|factors=128;epochs=30;regularisation=0.01;alpha=1.0|frac=1.0,38,0,147.671875,0.073276216141044,0.073276216141044,0.073312016856717
ml100k,fmqa,15,0.078916562402482,als|factors=32;epochs=15;regularisation=0.001;alpha=1.0|frac=1.0,58,0,155.828125,0.078916562402482,0.078916562402482,0.078916562402482
ml100k,grid,16,0.073827224517497,itemknn|topk=10;shrink=0.0|frac=1.0,99,0,146.96398918167347,0.073827224517497,0.073827224517497,0.073827224517497
ml100k,random,16,0.07298946206594,als|factors=64;epochs=30;regularisation=0.01;alpha=1.0|frac=1.0,45,0,148.43712797619048,0.071883591529523,0.071883591529523,0.07298946206594
ml100k,tpe,16,0.079031009902108,als|factors=64;epochs=5;regularisation=0.1;alpha=1.0|frac=1.0,88,474,146.36813581628883,0.076887166977308,0.076887166977308,0.079031009902108
ml100k,successive_halving,16,0.074800464349429,als|factors=128;epochs=15;regularisation=0.001;alpha=1.0|frac=1.0,45,0,145.03515625,0.072130893278926,0.074800464349429,0.074800464349429
ml100k,hyperband,16,0.076887166977308,markov|order=1;smoothing=0.1;decay=false|frac=1.0,51,0,149.7734375,0.063764567582465,0.06780153992558,0.076887166977308
ml100k,sm2,16,0.079068094664324,als|factors=32;epochs=15;regularisation=0.01;alpha=1.0|frac=1.0,37,0,144.703125,0.071679297159898,0.071679297159898,0.079068094664324
ml100k,bocs,16,0.074367503565843,als|factors=64;epochs=15;regularisation=0.1;alpha=1.0|frac=1.0,48,0,144.3506324404762,0.074367503565843,0.074367503565843,0.074367503565843
ml100k,fmqa,16,0.076887166977308,markov|order=1;smoothing=0.1;decay=false|frac=1.0,63,0,148.48356029669623,0.068103249503298,0.068103249503298,0.076887166977308
ml100k,grid,17,0.073827224517497,itemknn|topk=10;shrink=0.0|frac=1.0,99,0,147.16711418167347,0.073827224517497,0.073827224517497,0.073827224517497
ml100k,random,17,0.079475733232263,als|factors=32;epochs=30;regularisation=0.1;alpha=1.0|frac=1.0,44,3,145.86038814839648,0.079475733232263,0.079475733232263,0.079475733232263
ml100k,tpe,17,0.079475733232263,als|factors=32;epochs=30;regularisation=0.1;alpha=1.0|frac=1.0,77,374,147.52085159009835,0.076887166977308,0.076887166977308,0.079475733232263
ml100k,successive_halving,17,0.077551795194721,als|factors=64;epochs=5;regularisation=0.01;alpha=1.0|frac=1.0,43,0,153.63300433548187,0.071761985997885,0.072772557980896,0.077551795194721
ml100k,hyperband,17,0.076887166977308,markov|order=1;smoothing=0.5;decay=false|frac=1.0,41,0,150.4610778233049,0.067377980320436,0.067377980320436,0.076887166977308
ml100k,sm2,17,0.076887166977308,markov|order=1;smoothing=0.1;decay=false|frac=1.0,66,0,163.26574035622,0.073276216141044,0.073276216141044,0.076887166977308
ml100k,bocs,17,0.079475733232263,als|factors=32;epochs=30;regularisation=0.1;alpha=1.0|frac=1.0,41,0,145.0001918354819,0.079475733232263,0.079475733232263,0.079475733232263
ml100k,fmqa,17,0.076887166977308,markov|order=1;smoothing=0.5;decay=false|frac=1.0,57,0,146.2784141328287,0.059143001198895,0.073312016856717,0.076887166977308
ml100k,grid,18,0.073827224517497,itemknn|topk=10;shrink=0.0|frac=1.0,99,0,147.08898918167347,0.073827224517497,0.073827224517497,0.073827224517497
ml100k,random,18,0.079031009902108,als|factors=64;epochs=5;regularisation=0.1;alpha=1.0|frac=1.0,57,4,157.96886535622002,0.079031009902108,0.079031009902108,0.079031009902108
ml100k,tpe,18,0.079068094664324,als|factors=32;epochs=15;regularisation=0.01;alpha=1.0|frac=1.0,73,208,145.3824587329555,0.07889310261079,0.07889310261079,0.079068094664324
ml100k,successive_halving,18,0.079031009902108,als|factors=64;epochs=5;regularisation=0.1;alpha=1.0|frac=1.0,41,0,145.04166666666666,0.063091267204888,0.069552013233104,0.079031009902108
ml100k,hyperband,18,0.072133848770243,als|factors=16;epochs=15;regularisation=0.1;alpha=1.0|frac=1.0,54,0,144.32310850214856,0.070965660795139,0.072035376748097,0.072133848770243
ml100k,sm2,18,0.072035376748097,als|factors=128;epochs=5;regularisation=0.001;alpha=1.0|frac=1.0,41,0,154.20963541666669,0.063764567582465,0.072035376748097,0.072035376748097
ml100k,bocs,18,0.078916562402482,als|factors=32;epochs=15;regularisation=0.001;alpha=1.0|frac=1.0,49,0,145.96056547619048,0.076921290090755,0.076921290090755,0.078916562402482
ml100k,fmqa,18,0.077551795194721,als|factors=64;epochs=5;regularisation=0.01;alpha=1.0|frac=1.0,67,0,145.02535574083538,0.071591332341315,0.077551795194721,0.077551795194721
ml100k,grid,19,0.073827224517497,itemknn|topk=10;shrink=0.0|frac=1.0,99,0,147.04211418167347,0.073827224517497,0.073827224517497,0.073827224517497
ml100k,random,19,0.076822288397693,als|factors=64;epochs=5;regularisation=0.001;alpha=1.0|frac=1.0,39,1,148.7865986566382,0.074370280394039,0.074370280394039,0.076822288397693
ml100k,tpe,19,0.079068094664324,als|factors=32;epochs=15;regularisation=0.01;alpha=1.0|frac=1.0,55,81,146.2073384417019,0.07889310261079,0.07889310261079,0.079068094664324
ml100k,successive_halving,19,0.078916562402482,als|factors=32;epochs=15;regularisation=0.001;alpha=1.0|frac=1.0,50,0,156.8515625,0.071838450263929,0.078916562402482,0.078916562402482
ml100k,hyperband,19,0.079031009902108,als|factors=64;epochs=5;regularisation=0.1;alpha=1.0|frac=1.0,43,0,148.82552083333331,0.069934877014981,0.069934877014981,0.079031009902108
ml100k,sm2,19,0.073312016856717,als|factors=128;epochs=30;regularisation=0.01;alpha=1.0|frac=1.0,46,0,152.96744791666666,0.072613481716454,0.072613481716454,0.073312016856717
ml100k,bocs,19,0.071405635939778,als|factors=16;epochs=5;regularisation=0.01;alpha=1.0|frac=1.0,35,0,144.79594494047618,0.071405635939778,0.071405635939778,0.071405635939778
ml100k,fmqa,19,0.077170461291231,als|factors=32;epochs=5;regularisation=0.01;alpha=1.0|frac=1.0,60,0,144.6791352878628,0.077170461291231,0.077170461291231,0.077170461291231
ml100k,grid,20,0.073827224517497,itemknn|topk=10;shrink=0.0|frac=1.0,99,0,146.93273918167347,0.073827224517497,0.073827224517497,0.073827224517497
ml100k,random,20,0.078174671117688,als|factors=32;epochs=15;regularisation=0.1;alpha=1.0|frac=1.0,42,3,148.56119791666666,0.076887166977308,0.076887166977308,0.078174671117688
ml100k,tpe,20,0.079475733232263,als|factors=32;epochs=30;regularisation=0.1;alpha=1.0|frac=1.0,59,127,150.42232251500678,0.079475733232263,0.079475733232263,0.079475733232263
ml100k,successive_halving,20,0.078775994455641,als|factors=32;epochs=30;regularisation=0.001;alpha=1.0|frac=1.0,50,0,156.03584888676394,0.072130893278926,0.078775994455641,0.078775994455641
ml100k,hyperband,20,0.079068094664324,als|factors=32;epochs=15;regularisation=0.01;alpha=1.0|frac=1.0,46,0,145.31391743955334,0.078775994455641,0.078775994455641,0.079068094664324
ml100k,sm2,20,0.077551795194721,als|factors=64;epochs=5;regularisation=0.01;alpha=1.0|frac=1.0,39,0,144.7578125,0.076822288397693,0.076822288397693,0.077551795194721
ml100k,bocs,20,0.076822288397693,als|factors=64;epochs=5;regularisation=0.001;alpha=1.0|frac=1.0,48,0,147.45442708333331,0.076822288397693,0.076822288397693,0.076822288397693
ml100k,fmqa,20,0.074367503565843,als|factors=64;epochs=15;regularisation=0.1;alpha=1.0|frac=1.0,65,0,154.1537746108059,0.073251714964692,0.074367503565843,0.074367503565843
ml100k,grid,21,0.073827224517497,itemknn|topk=10;shrink=0.0|frac=1.0,99,0,146.97961418167347,0.073827224517497,0.073827224517497,0.073827224517497
ml100k,random,21,0.079068094664324,als|factors=32;epochs=15;regularisation=0.01;alpha=1.0|frac=1.0,51,3,159.19791666666666,0.071761985997885,0.079031009902108,0.079068094664324
ml100k,tpe,21,0.074809747535055,als|factors=128;epochs=15;regularisation=0.01;alpha=1.0|frac=1.0,44,36,153.92672956628883,0.074809747535055,0.074809747535055,0.074809747535055
ml100k,successive_halving,21,0.077170461291231,als|factors=32;epochs=5;regularisation=0.01;alpha=1.0|frac=1.0,68,0,147.33966356167235,0.065911900848609,0.066419141063009,0.077170461291231
ml100k,hyperband,21,0.078916562402482,als|factors=32;epochs=15;regularisation=0.001;alpha=1.0|frac=1.0,42,0,145.77176339285714,0.071909148805321,0.078916562402482,0.078916562402482
ml100k,sm2,21,0.079031009902108,als|factors=64;epochs=5;regularisation=0.1;alpha=1.0|frac=1.0,56,0,145.40364583333331,0.064118747205767,0.065862472619428,0.079031009902108
ml100k,bocs,21,0.079475733232263,als|factors=32;epochs=30;regularisation=0.1;alpha=1.0|frac=1.0,56,0,145.2131696428571,0.071759479563012,0.071759479563012,0.079475733232263
ml100k,fmqa,21,0.07889310261079,als|factors=32;epochs=30;regularisation=0.01;alpha=1.0|frac=1.0,65,0,144.23201496702586,0.070628465830239,0.076887166977308,0.07889310261079
ml100k,grid,22,0.073827224517497,itemknn|topk=10;shrink=0.0|frac=1.0,99,0,146.97961418167347,0.073827224517497,0.073827224517497,0.073827224517497
