family,epochs,data_fraction,seed,param.factors,param.regularisation,param.alpha,train_cpu_seconds,train_wall_seconds,val_ndcg_at_10,val_recall_at_10,param.latent,param.hidden,param.dropout
als,30,1.0,0,16.0,0.001,40.0,0.515625,0.5099263000010978,0.144825239466863,0.2806236080178174,,,
als,30,1.0,1,16.0,0.001,40.0,0.53125,0.5274032999986957,0.14524993992128457,0.2806236080178174,,,
als,5,0.25,0,16.0,0.01,1.0,0.078125,0.07950589999745716,0.09653526256125408,0.1870824053452116,,,
als,5,0.25,1,16.0,0.01,1.0,0.078125,0.083383799999865,0.0926300093948194,0.18485523385300667,,,
als,15,0.25,0,16.0,0.01,1.0,0.234375,0.24325230000249576,0.0999692266250358,0.19376391982182628,,,
als,15,0.25,1,16.0,0.01,1.0,0.25,0.24373799999739276,0.10317270436891972,0.19821826280623608,,,
als,30,0.25,0,16.0,0.01,1.0,0.46875,0.48520099999950617,0.10213210570557514,0.19599109131403117,,,
als,30,0.25,1,16.0,0.01,1.0,0.46875,0.48723600000084843,0.10421643079899742,0.2071269487750557,,,
als,5,0.5,0,16.0,0.01,1.0,0.078125,0.08406860000104643,0.13626165874325877,0.267260579064588,,,
als,5,0.5,1,16.0,0.01,1.0,0.078125,0.08360150000225985,0.13012654109674746,0.22939866369710468,,,
als,15,0.5,0,16.0,0.01,1.0,0.25,0.2512569999998959,0.15050273093718552,0.2739420935412027,,,
als,15,0.5,1,16.0,0.01,1.0,0.25,0.25521419999859063,0.1329733311619745,0.26057906458797325,,,
als,30,0.5,0,16.0,0.01,1.0,0.515625,0.5072595000019646,0.14275581857703645,0.2650334075723831,,,
als,30,0.5,1,16.0,0.01,1.0,0.515625,0.5079569000008632,0.1410927705157304,0.26948775055679286,,,
als,5,1.0,0,16.0,0.01,1.0,0.078125,0.08620850000079372,0.15083880149478096,0.29398663697104677,,,
als,5,1.0,1,16.0,0.01,1.0,0.078125,0.08522679999805405,0.13170687977569268,0.2516703786191537,,,
als,15,1.0,0,16.0,0.01,1.0,0.265625,0.2548458000019309,0.15361341197868722,0.28507795100222716,,,
als,15,1.0,1,16.0,0.01,1.0,0.265625,0.2665753000001132,0.1465433248297091,0.2806236080178174,,,
als,30,1.0,0,16.0,0.01,1.0,0.5,0.5192497999996704,0.1572198658561229,0.2873051224944321,,,
als,30,1.0,1,16.0,0.01,1.0,0.53125,0.5251901999981783,0.15250073196884867,0.2806236080178174,,,
als,5,0.25,0,16.0,0.01,10.0,0.078125,0.0821353999999701,0.08882143450669307,0.1603563474387528,,,
als,5,0.25,1,16.0,0.01,10.0,0.078125,0.0828853999992134,0.0892330980237113,0.15812917594654788,,,
als,15,0.25,0,16.0,0.01,10.0,0.234375,0.23895720000291476,0.11379810899474431,0.21158129175946547,,,
als,15,0.25,1,16.0,0.01,10.0,0.234375,0.24130629999854136,0.10789683192038746,0.19599109131403117,,,
als,30,0.25,0,16.0,0.01,10.0,0.546875,0.53257400000075,0.11339576742234897,0.2026726057906459,,,
als,30,0.25,1,16.0,0.01,10.0,0.484375,0.4757595000010042,0.10843623638083097,0.18930957683741648,,,
als,5,0.5,0,16.0,0.01,10.0,0.078125,0.0834367999996175,0.13591453586904675,0.26280623608017817,,,
als,5,0.5,1,16.0,0.01,10.0,0.09375,0.09215310000217869,0.12606558978881222,0.24053452115812918,,,
als,15,0.5,0,16.0,0.01,10.0,0.25,0.2546412000010605,0.148143999507784,0.2806236080178174,,,
als,15,0.5,1,16.0,0.01,10.0,0.296875,0.3051382999983616,0.13346497502194166,0.25389755011135856,,,
als,30,0.5,0,16.0,0.01,10.0,0.59375,0.5987948000001779,0.14535220422138717,0.289532293986637,,,
als,30,0.5,1,16.0,0.01,10.0,0.65625,0.6597713000010117,0.14543811979769136,0.27839643652561247,,,
als,5,1.0,0,16.0,0.01,10.0,0.09375,0.08910310000283062,0.1378419939652341,0.26057906458797325,,,
als,5,1.0,1,16.0,0.01,10.0,0.109375,0.110080200000084,0.13078879255644554,0.24498886414253898,,,
als,15,1.0,0,16.0,0.01,10.0,0.296875,0.2997329999998328,0.14600836001661818,0.2806236080178174,,,
als,15,1.0,1,16.0,0.01,10.0,0.296875,0.320974499998556,0.14544964794717116,0.2739420935412027,,,
als,30,1.0,0,16.0,0.01,10.0,0.5625,0.5687471000019286,0.15157266694805452,0.29175946547884185,,,
als,30,1.0,1,16.0,0.01,10.0,0.53125,0.5303843000001507,0.153106613128651,0.2828507795100223,,,
als,5,0.25,0,16.0,0.01,40.0,0.09375,0.08629909999945085,0.08232216139450163,0.155902004454343,,,
als,5,0.25,1,16.0,0.01,40.0,0.078125,0.0852801000000909,0.0637690029559166,0.12249443207126949,,,
als,15,0.25,0,16.0,0.01,40.0,0.265625,0.26255509999828064,0.10444693681886148,0.19376391982182628,,,
als,15,0.25,1,16.0,0.01,40.0,0.265625,0.24927179999940563,0.09990193275053123,0.18262806236080179,,,
als,30,0.25,0,16.0,0.01,40.0,0.484375,0.495619400000578,0.11211064142719915,0.20489977728285078,,,
als,30,0.25,1,16.0,0.01,40.0,0.484375,0.487638299997343,0.10155895962012043,0.18262806236080179,,,
als,5,0.5,0,16.0,0.01,40.0,0.09375,0.08587400000033085,0.12475511331183957,0.2383073496659243,,,
als,5,0.5,1,16.0,0.01,40.0,0.078125,0.08562440000241622,0.1066853207874252,0.2026726057906459,,,
als,15,0.5,0,16.0,0.01,40.0,0.265625,0.26711010000144597,0.14023119183019417,0.26948775055679286,,,
als,15,0.5,1,16.0,0.01,40.0,0.265625,0.26440029999866965,0.12789000855520674,0.24498886414253898,,,
als,30,0.5,0,16.0,0.01,40.0,0.53125,0.5299425000011979,0.1336219545152809,0.26280623608017817,,,
als,30,0.5,1,16.0,0.01,40.0,0.5,0.5062572999995609,0.13381205482235503,0.2561247216035635,,,
als,5,1.0,0,16.0,0.01,40.0,0.078125,0.08552350000172737,0.1263866912382765,0.2516703786191537,,,
als,5,1.0,1,16.0,0.01,40.0,0.078125,0.08583659999931115,0.11636821182741441,0.2182628062360802,,,
als,15,1.0,0,16.0,0.01,40.0,0.28125,0.27860990000044694,0.14303790391183965,0.27616926503340755,,,
als,15,1.0,1,16.0,0.01,40.0,0.296875,0.2897009000007529,0.14071047600521566,0.26057906458797325,,,
als,30,1.0,0,16.0,0.01,40.0,0.5625,0.5614352999982657,0.145697266117746,0.29175946547884185,,,
als,30,1.0,1,16.0,0.01,40.0,0.546875,0.546017300002859,0.14125463029121832,0.2806236080178174,,,
als,5,0.25,0,16.0,0.1,1.0,0.078125,0.08279450000190991,0.09642236460940146,0.18485523385300667,,,
als,5,0.25,1,16.0,0.1,1.0,0.09375,0.09223009999914211,0.09143496407615423,0.18040089086859687,,,
als,15,0.25,0,16.0,0.1,1.0,0.25,0.2555699000004097,0.1013278725563759,0.19821826280623608,,,
als,15,0.25,1,16.0,0.1,1.0,0.25,0.25760640000225976,0.10544435697373869,0.20489977728285078,,,
als,30,0.25,0,16.0,0.1,1.0,0.671875,0.713585299999977,0.09952012067601046,0.19821826280623608,,,
als,30,0.25,1,16.0,0.1,1.0,0.609375,0.6123727000012877,0.10416627656857486,0.2071269487750557,,,
als,5,0.5,0,16.0,0.1,1.0,0.109375,0.11542330000156653,0.13709831162580288,0.2739420935412027,,,
als,5,0.5,1,16.0,0.1,1.0,0.109375,0.10047090000080061,0.12974510391876443,0.22717149220489977,,,
als,15,0.5,0,16.0,0.1,1.0,0.3125,0.3160749999988184,0.1504982210138023,0.2739420935412027,,,
als,15,0.5,1,16.0,0.1,1.0,0.34375,0.3990965999983018,0.13359711757310994,0.26057906458797325,,,
als,30,0.5,0,16.0,0.1,1.0,0.75,0.7460021000006236,0.14326874702096476,0.26280623608017817,,,
als,30,0.5,1,16.0,0.1,1.0,0.71875,0.7078763000026811,0.14102181599124766,0.26948775055679286,,,
als,5,1.0,0,16.0,0.1,1.0,0.109375,0.10792049999872688,0.14966605579023454,0.29398663697104677,,,
als,5,1.0,1,16.0,0.1,1.0,0.09375,0.10882169999968028,0.13229246825743737,0.2583518930957684,,,
als,15,1.0,0,16.0,0.1,1.0,0.359375,0.36262170000190963,0.15401585023438666,0.28507795100222716,,,
als,15,1.0,1,16.0,0.1,1.0,0.328125,0.32037189999755356,0.14767056312246205,0.2828507795100223,,,
als,30,1.0,0,16.0,0.1,1.0,0.734375,0.7299965000020165,0.15715189397605242,0.28507795100222716,,,
als,30,1.0,1,16.0,0.1,1.0,0.65625,0.6577270000016142,0.15181363819453528,0.27839643652561247,,,
als,5,0.25,0,16.0,0.1,10.0,0.09375,0.0948815999981889,0.0920528868566471,0.16703786191536749,,,
als,5,0.25,1,16.0,0.1,10.0,0.09375,0.09167139999772189,0.08719651464902502,0.15812917594654788,,,
als,15,0.25,0,16.0,0.1,10.0,0.296875,0.2902558999994653,0.11524631477740946,0.21380846325167038,,,
als,15,0.25,1,16.0,0.1,10.0,0.28125,0.27766650000194204,0.10783777136179495,0.19599109131403117,,,
als,30,0.25,0,16.0,0.1,10.0,0.546875,0.5522837999997137,0.1119948207053372,0.19821826280623608,,,
als,30,0.25,1,16.0,0.1,10.0,0.5625,0.560043700003007,0.10637730473271324,0.1915367483296214,,,
