dataset,family,role,seed,data_fraction,n_train_interactions,n_items,n_users,n_eval_users,train_cpu_seconds,train_wall_seconds,train_cpu_utilisation,train_below_quantum,serve_cpu_seconds,serve_wall_seconds,score_wall_seconds,peak_rss_bytes,model_bytes,val_ndcg_at_10,val_recall_at_10,threads,param.topk,param.shrink,param.order,param.smoothing,param.decay,param.factors,param.epochs,param.regularisation,param.alpha,param.latent,param.hidden,param.dropout
luxury_beauty,markov,cheap,0,0.5,10792,1347,3582,3281,0.015625,0.02359289999731118,0.6622755151668824,True,0.640625,0.6217404999988503,0.12040189999970607,571080704,174140,0.2583267944417187,0.30234684547394086,1,,,2.0,0.1,True,,,,,,,
luxury_beauty,popularity,cheap,0,1.0,19789,1347,3582,3281,0.0,0.0002500000009604264,0.0,True,0.28125,0.28510719999758294,0.1158599000009417,571080704,10776,0.020031988513416216,0.05059433099664736,1,,,,,,,,,,,,
luxury_beauty,itemknn,cheap,0,1.0,19789,1347,3582,3281,0.078125,0.07167410000329255,1.0900032228714571,False,0.3125,0.3120353999984218,0.12191490000259364,571080704,14515272,0.289477768360559,0.3599512343797623,1,300.0,0.0,,,,,,,,,,
luxury_beauty,markov,cheap,0,1.0,19789,1347,3582,3281,0.046875,0.04595289999997476,1.0200661982165597,True,0.6875,0.6972005999996327,0.1306927999976324,571084800,409664,0.2820153003864411,0.3300822919841512,1,,,2.0,0.1,True,,,,,,,
luxury_beauty,als,base,0,1.0,19789,1347,3582,3281,6.171875,6.187949300001492,0.9974023219612533,False,0.40625,0.41042299999753595,0.15282240000306047,571084800,2523648,0.2798046903820743,0.36056080463273393,1,,,,,,64.0,15.0,0.01,40.0,,,
luxury_beauty,als,factors,0,1.0,19789,1347,3582,3281,2.75,2.7635087999988173,0.9951117217362134,False,0.40625,0.4498805999974138,0.15614329999880283,571084800,630912,0.27380651226734987,0.34074977141115514,1,,,,,,16.0,15.0,0.01,40.0,,,
luxury_beauty,als,factors,0,1.0,19789,1347,3582,3281,3.6875,3.69839729999876,0.9970535074750451,False,0.375,0.3705143000006501,0.16964899999948102,571084800,1261824,0.28300644821158993,0.35019811033221576,1,,,,,,32.0,15.0,0.01,40.0,,,
luxury_beauty,als,factors,0,1.0,19789,1347,3582,3281,18.03125,18.09699720000208,0.9963669552868102,False,0.390625,0.4038044000008085,0.15060430000085034,571084800,5047296,0.2631129696199922,0.3291679366046937,1,,,,,,128.0,15.0,0.01,40.0,,,
luxury_beauty,als,epochs,0,1.0,19789,1347,3582,3281,2.328125,2.339458400001604,0.995155545402476,False,0.359375,0.3702487000009569,0.14065649999974994,571084800,2523648,0.28117545242408865,0.3477598293203292,1,,,,,,64.0,5.0,0.01,40.0,,,
luxury_beauty,als,epochs,0,1.0,19789,1347,3582,3281,12.96875,13.013742300001468,0.9965427085488343,False,0.375,0.36387489999833633,0.16155849999995553,571084800,2523648,0.2789540976646029,0.35659859798841814,1,,,,,,64.0,30.0,0.01,40.0,,,
luxury_beauty,als,fraction,0,0.25,6446,1347,3582,3281,6.96875,7.0250608999995166,0.9919842830117643,False,0.375,0.3733042999992904,0.1440522000011697,571084800,2523648,0.1962529457796028,0.22249314233465406,1,,,,,,64.0,15.0,0.01,40.0,,,
luxury_beauty,als,fraction,0,0.5,10792,1347,3582,3281,6.234375,6.2436238000009325,0.998518680769823,False,0.375,0.36637960000007297,0.14472050000040326,571084800,2523648,0.21369870392306559,0.30783297775068574,1,,,,,,64.0,15.0,0.01,40.0,,,
luxury_beauty,als,corner,0,0.25,6446,1347,3582,3281,29.296875,29.445443000000523,0.9949544654498653,False,0.328125,0.3322824999995646,0.12276090000159456,571084800,5047296,0.18367291833202434,0.21304480341359341,1,,,,,,128.0,30.0,0.01,40.0,,,
luxury_beauty,multvae,base,0,1.0,19789,1347,3582,3281,14.3125,14.336118200000783,0.9983525386948343,False,0.46875,0.471412999999302,0.12194649999946705,571084800,6937100,0.28859496441822347,0.36635172203596467,1,,,,,,,20.0,,,64.0,600.0,0.5
luxury_beauty,multvae,hidden,0,1.0,19789,1347,3582,3281,7.171875,7.167084700002306,1.0006683749666991,False,0.40625,0.4019345999986399,0.1235579999993206,599986176,2316300,0.2763760816499519,0.3413593416641268,1,,,,,,,20.0,,,64.0,200.0,0.5
luxury_beauty,multvae,latent,0,1.0,19789,1347,3582,3281,15.25,15.420334499998717,0.9889539036913414,False,0.46875,0.4776371999978437,0.12025960000028135,599986176,6706444,0.2868532173328895,0.36086558975921973,1,,,,,,,20.0,,,32.0,600.0,0.5
luxury_beauty,multvae,latent,0,1.0,19789,1347,3582,3281,15.5625,15.65503009999884,0.9940894332743029,False,0.46875,0.4863112999992154,0.11978720000115572,599986176,7398412,0.28622828901378344,0.36147516001219143,1,,,,,,,20.0,,,128.0,600.0,0.5
luxury_beauty,multvae,epochs,0,1.0,19789,1347,3582,3281,7.78125,7.836109800002305,0.99299910269222,False,0.484375,0.4819721000021673,0.12218219999704161,604008448,6937100,0.2773079833780516,0.3495885400792441,1,,,,,,,10.0,,,64.0,600.0,0.5
luxury_beauty,multvae,fraction,0,0.25,6446,1347,3582,3281,16.328125,16.57407729999977,0.9851604227766106,False,0.53125,0.5447497999994084,0.12105999999766937,604008448,6937100,0.18594479415782905,0.25784821700701005,1,,,,,,,20.0,,,64.0,600.0,0.5
luxury_beauty,multvae,fraction,0,0.5,10792,1347,3582,3281,15.265625,15.312619500000437,0.9969309953793055,False,0.5,0.4919521999981953,0.12141950000295765,607752192,6937100,0.24006267965900985,0.3081377628771716,1,,,,,,,20.0,,,64.0,600.0,0.5
